ID do Aluno,Marca - Unidade,Tentativa Final,Atendimento Final
10010101114,Escola Maris - Unidade C,Sim,Não
10010101449,Escola Maris - Unidade C,Sim,Não
1001010191,Escola Maris - Unidade C,Sim,Não
1001010104,Escola Maris - Unidade C,Sim,Não
1001011049,Escola Maris - Unidade C,Sim,Sim
1001011014,Escola Maris - Unidade C,Sim,Não
1001011014,Escola Maris - Unidade C,Sim,Sim
1001011414,Escola Maris - Unidade C,Sim,Não
1001014119,Escola Maris - Unidade C,Sim,Sim
1001014119,Escola Maris - Unidade C,Sim,Não
1001014994,Escola Maris - Unidade C,Sim,Não
10010404110,Escola Maris - Unidade C,Sim,Não
1001040409,Escola Maris - Unidade C,Sim,Sim
10010404101,Escola Maris - Unidade C,Sim,Não
1001040441,Escola Maris - Unidade C,Sim,Sim
1001040491,Escola Maris - Unidade C,Sim,Não
1001040900,Escola Maris - Unidade C,Sim,Não
1001041010104,Escola Maris - Unidade C,Sim,Sim
1001041010104,Escola Maris - Unidade C,Sim,Não
10010410004,Escola Maris - Unidade C,Sim,Não
10010410410,Escola Maris - Unidade C,Sim,Não
10010410414,Escola Maris - Unidade C,Sim,Sim
10010410440,Escola Maris - Unidade C,Sim,Sim
1001041011,Escola Maris - Unidade C,Sim,Não
10010411010,Escola Maris - Unidade C,Sim,Não
1001041141,Escola Maris - Unidade C,Sim,Não
1001041440,Escola Maris - Unidade C,Sim,Não
1001041910,Escola Maris - Unidade C,Sim,Sim
10010401010,Escola Maris - Unidade C,Sim,Sim
1001040191,Escola Maris - Unidade C,Sim,Não
10010410104,Escola Maris - Unidade C,Sim,Não
1001044400,Escola Maris - Unidade C,Sim,Não
10010491100,Escola Maris - Unidade C,Sim,Não
1001010041,Escola Maris - Unidade C,Sim,Sim
1001010041,Escola Maris - Unidade C,Sim,Não
10010100110,Escola Maris - Unidade C,Sim,Não
10010101019,Escola Maris - Unidade C,Sim,Sim
1001010149,Escola Maris - Unidade C,Sim,Não
1001010119,Escola Maris - Unidade C,Sim,Não
10010104410,Escola Maris - Unidade C,Sim,Não
1001010414,Escola Maris - Unidade C,Sim,Não
10010104010,Escola Maris - Unidade C,Sim,Não
10010104410,Escola Maris - Unidade C,Sim,Sim
100101041,Escola Maris - Unidade C,Sim,Não
10010110410,Escola Maris - Unidade C,Sim,Não
1001011041,Escola Maris - Unidade C,Sim,Não
100101104,Escola Maris - Unidade C,Sim,Sim
100101410,Escola Maris - Unidade C,Sim,Não
100101400,Escola Maris - Unidade C,Sim,Não
100101411,Escola Maris - Unidade C,Sim,Sim
100101401,Escola Maris - Unidade C,Sim,Não
100101404,Escola Maris - Unidade C,Sim,Não
100101409,Escola Maris - Unidade C,Sim,Não
100101414,Escola Maris - Unidade C,Sim,Não
100101104,Escola Maris - Unidade C,Sim,Não
100101914,Escola Maris - Unidade C,Sim,Não
100100011,Escola Maris - Unidade C,Sim,Não
100100040,Escola Maris - Unidade C,Sim,Não
100100099,Escola Maris - Unidade C,Sim,Não
100100149,Escola Maris - Unidade C,Sim,Sim
100100141,Escola Maris - Unidade C,Sim,Não
100100191,Escola Maris - Unidade C,Sim,Não
100100490,Escola Maris - Unidade C,Sim,Não
100100414,Escola Maris - Unidade C,Sim,Não
100100444,Escola Maris - Unidade C,Sim,Não
100101194,Escola Maris - Unidade C,Sim,Não
100101014,Escola Maris - Unidade C,Sim,Não
100101090,Escola Maris - Unidade C,Sim,Sim
100101094,Escola Maris - Unidade C,Sim,Não
100101111,Escola Maris - Unidade C,Sim,Sim
100101144,Escola Maris - Unidade C,Sim,Não
100101141,Escola Maris - Unidade C,Sim,Não
100101149,Escola Maris - Unidade C,Sim,Não
100101444,Escola Maris - Unidade C,Sim,Não
1001014104,Escola Maris - Unidade C,Sim,Não
100101441,Escola Maris - Unidade C,Sim,Não
100101414,Escola Maris - Unidade C,Sim,Sim
1001011010,Escola Maris - Unidade C,Sim,Sim
100101111,Escola Maris - Unidade C,Sim,Não
100101140,Escola Maris - Unidade C,Sim,Não
100101994,Escola Maris - Unidade C,Sim,Não
1001040104,Escola Maris - Unidade C,Sim,Não
100104001,Escola Maris - Unidade C,Sim,Não
100104009,Escola Maris - Unidade C,Sim,Não
1001041001,Escola Maris - Unidade C,Sim,Não
1001041000,Escola Maris - Unidade C,Sim,Não
100104004,Escola Maris - Unidade C,Sim,Não
100104140,Escola Maris - Unidade C,Sim,Sim
1001041109,Escola Maris - Unidade C,Sim,Não
100104111,Escola Maris - Unidade C,Sim,Não
100104914,Escola Maris - Unidade C,Sim,Não
100104901,Escola Maris - Unidade C,Sim,Não
100104901,Escola Maris - Unidade C,Sim,Sim
100104944,Escola Maris - Unidade C,Sim,Não
100104911,Escola Maris - Unidade C,Sim,Não
100104404,Escola Maris - Unidade C,Sim,Sim
1001041010,Escola Maris - Unidade C,Sim,Sim
100104140,Escola Maris - Unidade C,Sim,Não
1001041041,Escola Maris - Unidade C,Sim,Não
100104444,Escola Maris - Unidade C,Sim,Sim
100104104,Escola Maris - Unidade C,Sim,Não
100104910,Escola Maris - Unidade C,Sim,Sim
100101114,Escola Maris - Unidade C,Sim,Não
100101940,Escola Maris - Unidade C,Sim,Sim
100109011,Escola Maris - Unidade C,Sim,Não
1001090101,Escola Maris - Unidade C,Sim,Sim
100109410,Escola Maris - Unidade C,Sim,Não
10011001009,Escola Maris - Unidade C,Sim,Não
1001100911,Escola Maris - Unidade C,Sim,Não
100110101004,Escola Maris - Unidade C,Sim,Sim
109101011,Escola Maris - Unidade C,Sim,Não
109101099,Escola Maris - Unidade C,Sim,Não
10910110010,Escola Maris - Unidade C,Sim,Não
1091011004,Escola Maris - Unidade C,Sim,Não
1091011004,Escola Maris - Unidade C,Sim,Sim
1091011010,Escola Maris - Unidade C,Sim,Não
1091011009,Escola Maris - Unidade C,Sim,Não
109101104,Escola Maris - Unidade C,Sim,Não
109101149,Escola Maris - Unidade C,Sim,Não
109101191,Escola Maris - Unidade C,Sim,Sim
109101019,Escola Maris - Unidade C,Sim,Não
109101441,Escola Maris - Unidade C,Sim,Sim
109101411,Escola Maris - Unidade C,Sim,Não
1091014100,Escola Maris - Unidade C,Sim,Não
1091014104,Escola Maris - Unidade C,Sim,Não
109101414,Escola Maris - Unidade C,Sim,Não
109101400,Escola Maris - Unidade C,Sim,Não
109101914,Escola Maris - Unidade C,Sim,Sim
109101991,Escola Maris - Unidade C,Sim,Não
1091000010,Escola Maris - Unidade C,Sim,Não
1091001040,Escola Maris - Unidade C,Sim,Não
109100144,Escola Maris - Unidade C,Sim,Não
1091004100,Escola Maris - Unidade C,Sim,Sim
109100411,Escola Maris - Unidade C,Sim,Não
109100410,Escola Maris - Unidade C,Sim,Não
109100441,Escola Maris - Unidade C,Sim,Não
109100101,Escola Maris - Unidade C,Sim,Sim
109100900,Escola Maris - Unidade C,Sim,Não
109100944,Escola Maris - Unidade C,Sim,Sim
10910110104,Escola Maris - Unidade C,Sim,Sim
109101100,Escola Maris - Unidade C,Sim,Não
109101401,Escola Maris - Unidade C,Sim,Não
109101444,Escola Maris - Unidade C,Sim,Não
109104001,Escola Maris - Unidade C,Sim,Sim
109104044,Escola Maris - Unidade C,Sim,Não
109104040,Escola Maris - Unidade C,Sim,Não
109104091,Escola Maris - Unidade C,Sim,Não
1091044010,Escola Maris - Unidade C,Sim,Não
109104440,Escola Maris - Unidade C,Sim,Não
109104411,Escola Maris - Unidade C,Sim,Não
109104400,Escola Maris - Unidade C,Sim,Não
109104414,Escola Maris - Unidade C,Sim,Não
109104491,Escola Maris - Unidade C,Sim,Não
109104149,Escola Maris - Unidade C,Sim,Não
109104110,Escola Maris - Unidade C,Sim,Não
1091049104,Escola Maris - Unidade C,Sim,Sim
109104940,Escola Maris - Unidade C,Sim,Não
109104944,Escola Maris - Unidade C,Sim,Não
1091049110,Escola Maris - Unidade C,Sim,Não
109104910,Escola Maris - Unidade C,Sim,Não
109104194,Escola Maris - Unidade C,Sim,Sim
109104094,Escola Maris - Unidade C,Sim,Não
1091041101,Escola Maris - Unidade C,Sim,Não
1091041104,Escola Maris - Unidade C,Sim,Sim
1091041109,Escola Maris - Unidade C,Sim,Não
109104140,Escola Maris - Unidade C,Sim,Não
1091044410,Escola Maris - Unidade C,Sim,Não
1091004441,Escola Maris - Unidade C,Sim,Não
109104441,Escola Maris - Unidade C,Sim,Sim
109104140,Escola Maris - Unidade C,Sim,Sim
109104114,Escola Maris - Unidade C,Sim,Não
109104941,Escola Maris - Unidade C,Sim,Não
109104941,Escola Maris - Unidade C,Sim,Sim
109104041,Escola Maris - Unidade C,Sim,Não
1091041010,Escola Maris - Unidade C,Sim,Não
109104101,Escola Maris - Unidade C,Sim,Não
109104110,Escola Maris - Unidade C,Sim,Sim
109104190,Escola Maris - Unidade C,Sim,Não
1091040410,Escola Maris - Unidade C,Sim,Sim
109104404,Escola Maris - Unidade C,Sim,Não
109104404,Escola Maris - Unidade C,Sim,Sim
1091041110,Escola Maris - Unidade C,Sim,Não
109104199,Escola Maris - Unidade C,Sim,Sim
109101091,Escola Maris - Unidade C,Sim,Sim
1091011001,Escola Maris - Unidade C,Sim,Sim
1091011041,Escola Maris - Unidade C,Sim,Sim
109101111,Escola Maris - Unidade C,Sim,Não
109101144,Escola Maris - Unidade C,Sim,Não
109101114,Escola Maris - Unidade C,Sim,Sim
109101144,Escola Maris - Unidade C,Sim,Sim
109101410,Escola Maris - Unidade C,Sim,Sim
109101414,Escola Maris - Unidade C,Sim,Sim
109101491,Escola Maris - Unidade C,Sim,Não
109101190,Escola Maris - Unidade C,Sim,Não
1091019101,Escola Maris - Unidade C,Sim,Não
109101901,Escola Maris - Unidade C,Sim,Não
109101919,Escola Maris - Unidade C,Sim,Não
109109044,Escola Maris - Unidade C,Sim,Não
109109010,Escola Maris - Unidade C,Sim,Sim
1091091000,Escola Maris - Unidade C,Sim,Sim
10910910110,Escola Maris - Unidade C,Sim,Não
1091091000,Escola Maris - Unidade C,Sim,Não
1091091004,Escola Maris - Unidade C,Sim,Sim
1091091044,Escola Maris - Unidade C,Sim,Sim
1091091041,Escola Maris - Unidade C,Sim,Não
1091091044,Escola Maris - Unidade C,Sim,Não
1091091010,Escola Maris - Unidade C,Sim,Não
109109101,Escola Maris - Unidade C,Sim,Não
109109141,Escola Maris - Unidade C,Sim,Não
109109194,Escola Maris - Unidade C,Sim,Sim
109109444,Escola Maris - Unidade C,Sim,Não
109109444,Escola Maris - Unidade C,Sim,Sim
109109440,Escola Maris - Unidade C,Sim,Sim
109109910,Escola Maris - Unidade C,Sim,Sim
109109919,Escola Maris - Unidade C,Sim,Sim
1091100014,Escola Maris - Unidade C,Sim,Sim
109110010010,Escola Maris - Unidade C,Sim,Sim
1091100101,Escola Maris - Unidade C,Sim,Não
1091100111,Escola Maris - Unidade C,Sim,Sim
109110011010,Escola Maris - Unidade C,Sim,Não
1091100411,Escola Maris - Unidade C,Sim,Não
1091100414,Escola Maris - Unidade C,Sim,Não
10911004110,Escola Maris - Unidade C,Sim,Sim
109101004110,Escola Maris - Unidade C,Sim,Sim
1091100414,Escola Maris - Unidade C,Sim,Sim
1091100109,Escola Maris - Unidade C,Sim,Não
10911010014,Escola Maris - Unidade C,Sim,Sim
109110101044,Escola Maris - Unidade C,Sim,Não
109110101110,Escola Maris - Unidade C,Sim,Sim
10911010191,Escola Maris - Unidade C,Sim,Não
10911010014,Escola Maris - Unidade C,Sim,Não
10911010410,Escola Maris - Unidade C,Sim,Não
10911010411,Escola Maris - Unidade C,Sim,Não
10911010441,Escola Maris - Unidade C,Sim,Não
10911010499,Escola Maris - Unidade C,Sim,Sim
10911010110,Escola Maris - Unidade C,Sim,Não
10911010110,Escola Maris - Unidade C,Sim,Sim
10911010900,Escola Maris - Unidade C,Sim,Não
10911011011,Escola Maris - Unidade C,Sim,Sim
109110110410,Escola Maris - Unidade C,Sim,Não
10911011044,Escola Maris - Unidade C,Sim,Não
1091101100,Escola Maris - Unidade C,Sim,Sim
1091101111,Escola Maris - Unidade C,Sim,Não
10911011910,Escola Maris - Unidade C,Sim,Não
1091101441,Escola Maris - Unidade C,Sim,Sim
1091101144,Escola Maris - Unidade C,Sim,Sim
1091101901,Escola Maris - Unidade C,Sim,Sim
10911019110,Escola Maris - Unidade C,Sim,Sim
1091101940,Escola Maris - Unidade C,Sim,Sim
1091100041,Escola Maris - Unidade C,Sim,Não
10911001000,Escola Maris - Unidade C,Sim,Sim
10911001041,Escola Maris - Unidade C,Sim,Não
1091100104,Escola Maris - Unidade C,Sim,Sim
10911000410,Escola Maris - Unidade C,Sim,Não
1091100091,Escola Maris - Unidade C,Sim,Sim
1091100410,Escola Maris - Unidade C,Sim,Sim
10911004104,Escola Maris - Unidade C,Sim,Não
1091100419,Escola Maris - Unidade C,Sim,Sim
1091101014,Escola Maris - Unidade C,Sim,Sim
10911011014,Escola Maris - Unidade C,Sim,Sim
10911011044,Escola Maris - Unidade C,Sim,Sim
10911011010,Escola Maris - Unidade C,Sim,Sim
1091101110,Escola Maris - Unidade C,Sim,Sim
1091101004,Escola Maris - Unidade C,Sim,Sim
1091101044,Escola Maris - Unidade C,Sim,Não
1091101144,Escola Maris - Unidade C,Sim,Não
1091101404,Escola Maris - Unidade C,Sim,Não
1091101410,Escola Maris - Unidade C,Sim,Não
1091101414,Escola Maris - Unidade C,Sim,Não
1091101411,Escola Maris - Unidade C,Sim,Não
1091101491,Escola Maris - Unidade C,Sim,Sim
10911014104,Escola Maris - Unidade C,Sim,Não
10911011100,Escola Maris - Unidade C,Sim,Não
1091101919,Escola Maris - Unidade C,Sim,Sim
1091104000,Escola Maris - Unidade C,Sim,Sim
1091104014,Escola Maris - Unidade C,Sim,Sim
1091104140,Escola Maris - Unidade C,Sim,Não
1091104440,Escola Maris - Unidade C,Sim,Não
1091104404,Escola Maris - Unidade C,Sim,Não
1091104104,Escola Maris - Unidade C,Sim,Não
1091104941,Escola Maris - Unidade C,Sim,Sim
10911041101,Escola Maris - Unidade C,Sim,Sim
10911044410,Escola Maris - Unidade C,Sim,Não
109110401010,Escola Maris - Unidade C,Sim,Sim
1091104094,Escola Maris - Unidade C,Sim,Sim
1091104411,Escola Maris - Unidade C,Sim,Não
1091101010,Escola Maris - Unidade C,Sim,Não
10911011041,Escola Maris - Unidade C,Sim,Não
10911011010,Escola Maris - Unidade C,Sim,Não
1091101040,Escola Maris - Unidade C,Sim,Não
1091101440,Escola Maris - Unidade C,Sim,Sim
1091101490,Escola Maris - Unidade C,Sim,Sim
1091101440,Escola Maris - Unidade C,Sim,Não
10911019104,Escola Maris - Unidade C,Sim,Sim
1091109010,Escola Maris - Unidade C,Sim,Não
1091109094,Escola Maris - Unidade C,Sim,Sim
1091109111,Escola Maris - Unidade C,Sim,Sim
1091109114,Escola Maris - Unidade C,Sim,Não
1091109449,Escola Maris - Unidade C,Sim,Sim
1091109414,Escola Maris - Unidade C,Sim,Não
1091109410,Escola Maris - Unidade C,Sim,Não
109110101010,Escola Maris - Unidade C,Sim,Não
109110411,Escola Maris - Unidade C,Sim,Não
109110949,Escola Maris - Unidade C,Sim,Sim
109111010104,Escola Maris - Unidade C,Sim,Não
1091110194,Escola Maris - Unidade C,Sim,Não
10911100104,Escola Maris - Unidade C,Sim,Sim
1091110010,Escola Maris - Unidade C,Sim,Sim
1091110444,Escola Maris - Unidade C,Sim,Não
10911111010,Escola Maris - Unidade C,Sim,Não
109111001,Escola Maris - Unidade C,Sim,Sim
1091111010,Escola Maris - Unidade C,Sim,Não
109111014,Escola Maris - Unidade C,Sim,Não
109111110,Escola Maris - Unidade C,Sim,Sim
109111991,Escola Maris - Unidade C,Sim,Não
109114111,Escola Maris - Unidade C,Sim,Não
1091144104,Escola Maris - Unidade C,Sim,Não
109114110,Escola Maris - Unidade C,Sim,Não
109114110,Escola Maris - Unidade C,Sim,Sim
109114141,Escola Maris - Unidade C,Sim,Não
109111011,Escola Maris - Unidade C,Sim,Não
109111091,Escola Maris - Unidade C,Sim,Não
1091111019,Escola Maris - Unidade C,Sim,Não
109111119,Escola Maris - Unidade C,Sim,Sim
109111141,Escola Maris - Unidade C,Sim,Não
109111404,Escola Maris - Unidade C,Sim,Sim
1091114101,Escola Maris - Unidade C,Sim,Não
109111411,Escola Maris - Unidade C,Sim,Não
109119011,Escola Maris - Unidade C,Sim,Não
1091190410,Escola Maris - Unidade C,Sim,Sim
109119101,Escola Maris - Unidade C,Sim,Não
1091191104,Escola Maris - Unidade C,Sim,Não
1091191110,Escola Maris - Unidade C,Sim,Não
109119111,Escola Maris - Unidade C,Sim,Não
109119141,Escola Maris - Unidade C,Sim,Não
109119144,Escola Maris - Unidade C,Sim,Não
109119019,Escola Maris - Unidade C,Sim,Não
109100001,Escola Maris - Unidade C,Sim,Não
109100404,Escola Maris - Unidade C,Sim,Sim
1091004110,Escola Maris - Unidade C,Sim,Não
1091010411,Escola Maris - Unidade C,Sim,Não
1091010401,Escola Maris - Unidade C,Sim,Não
1091010404,Escola Maris - Unidade C,Sim,Sim
1091010441,Escola Maris - Unidade C,Sim,Não
1091010911,Escola Maris - Unidade C,Sim,Não
109101014,Escola Maris - Unidade C,Sim,Sim
109101041,Escola Maris - Unidade C,Sim,Não
109101104,Escola Maris - Unidade C,Sim,Sim
109101141,Escola Maris - Unidade C,Sim,Sim
1091001010,Escola Maris - Unidade C,Sim,Sim
1091004910,Escola Maris - Unidade C,Sim,Sim
109101014,Escola Maris - Unidade C,Sim,Não
109101140,Escola Maris - Unidade C,Sim,Não
1091011101,Escola Maris - Unidade C,Sim,Sim
10910410410,Escola Maris - Unidade C,Sim,Sim
1091040110,Escola Maris - Unidade C,Sim,Não
109104011,Escola Maris - Unidade C,Sim,Não
